title,album,song_release_date,album_release_date,collaborators,youtube_url
Satellite Girl,Freckled Angels,2015-12-28,2016-01-01,,https://www.youtube.com/watch?v=y22m3KksPRw
Street Lights,Freckled Angels,,2016-01-01,,https://www.youtube.com/watch?v=4k9DMLxRylI
Breakdown,Love Music,2015-03-19,2015-01-01,,https://www.youtube.com/watch?v=GLhmWMy0emY
Can't Stop Me,Love Music,2015-03-19,2015-01-01,,https://www.youtube.com/watch?v=lyWoZ-_CoMI
Come Closer,Love Music,,2015-01-01,,https://www.youtube.com/watch?v=bSDjAbYJWP8
Earned It / Man's World / Falling,Love Music,2015-03-19,2015-01-01,Sam Tompkins,https://www.youtube.com/watch?v=d8nBzrhd8Ro
Falling,Love Music,,2015-01-01,,https://www.youtube.com/watch?v=rgGYLsviQMY
Got to Run,Love Music,2015-03-19,2015-01-01,,https://www.youtube.com/watch?v=KNhyY774ou8
Hush Now,Love Music,,2015-01-01,,https://www.youtube.com/watch?v=HYNYUgvqcr0
If I Leave Tonight,Love Music,2015-03-19,2015-01-01,,https://www.youtube.com/watch?v=reM-6D4C1Jg
Knock me down,Love Music,,2015-01-01,,https://www.youtube.com/watch?v=wMMrT7DIA44
Living Room Poetry,Love Music,2015-03-19,2015-01-01,,https://www.youtube.com/watch?v=Gov2_mI-wyo
Lost Boy (Trick the Fox),Love Music,,2015-01-01,,https://www.youtube.com/watch?v=Z-lfDYwtHPM
New York City,Love Music,2015-03-19,2015-01-01,,https://www.youtube.com/watch?v=d4Nfr6hKies
Okay In The Morning,Love Music,2015-03-19,2015-01-01,,https://www.youtube.com/watch?v=U8hx54ZVeQA
Rockstar,Love Music,2015-03-19,2015-01-01,,https://www.youtube.com/watch?v=Ei9lr-wDvTY
Run Away (Trick the Fox),Love Music,,2015-01-01,,https://www.youtube.com/watch?v=p8MuNCCzH2o
She Makes The World,Love Music,2015-03-19,2015-01-01,,https://www.youtube.com/watch?v=z3qZq1WFxNI
The Four Elements (Trick The Fox),Love Music,,2015-01-01,,https://www.youtube.com/watch?v=ENbN6FDs7pY
Wild place,Love Music,,2015-01-01,,https://www.youtube.com/watch?v=B5g0dAh3p2I
1 million subscribers,,,,,https://www.youtube.com/watch?v=0GeheniEoNg
16 bar challenge,,,,,https://www.youtube.com/watch?v=lwYm0sip6Vw
Acustarus (The Big Push),,,,The Big Push,https://www.youtube.com/watch?v=azs5cn5Orq8
All my heroes (The Big Push),,,,,https://www.youtube.com/watch?v=ESd5YihFvis
All my life,,,,,https://www.youtube.com/watch?v=mViaIY98gUA
Back On 74 / Message in a Bottle,,,,,https://www.youtube.com/watch?v=oqRaADSdJLE
Baggage (w/ Chris Webby),,,,,https://www.youtube.com/watch?v=R_3cwR1P8U4
Bittersweet Symphony (The Verve),,,,,https://www.youtube.com/watch?v=JwtEOp7pC1A
Blind Eyed (w/ Sam Tompkins),,,,,https://www.youtube.com/watch?v=OxtnGteyJLg
Bongo Bong (The Big Push),,,,,https://www.youtube.com/watch?v=EQAUupOFarw
